Fecha,num_atascos
2024-04-02 21:57:00,2
2024-04-02 22:27:00,1
2024-04-03 00:27:00,1
2024-04-03 04:57:00,2
2024-04-03 05:27:00,2
2024-04-03 05:57:00,2
2024-04-03 06:27:00,1
2024-04-03 06:57:00,12
2024-04-03 07:27:00,14
2024-04-03 07:57:00,10
2024-04-03 08:27:00,4
2024-04-03 08:57:00,5
2024-04-03 09:27:00,7
2024-04-03 09:57:00,10
2024-04-03 10:27:00,8
2024-04-03 10:57:00,10
2024-04-03 11:27:00,10
2024-04-03 11:57:00,7
2024-04-03 12:27:00,18
2024-04-03 12:57:00,8
2024-04-03 13:27:00,11
2024-04-03 13:57:00,12
2024-04-03 14:27:00,16
2024-04-03 14:57:00,23
2024-04-03 15:27:00,13
2024-04-03 15:57:00,12
2024-04-03 16:27:00,18
2024-04-03 16:57:00,16
2024-04-03 17:27:00,30
2024-04-03 17:57:00,31
2024-04-03 18:27:00,29
2024-04-03 18:57:00,27
2024-04-03 19:27:00,9
2024-04-03 19:57:00,4
2024-04-03 20:27:00,3
2024-04-03 20:57:00,3
2024-04-03 21:27:00,2
2024-04-03 21:57:00,2
2024-04-03 22:27:00,1
2024-04-03 23:27:00,1
2024-04-04 00:27:00,1
2024-04-04 00:57:00,2
2024-04-04 04:57:00,1
2024-04-04 05:27:00,2
2024-04-04 05:57:00,3
2024-04-04 06:27:00,1
2024-04-04 06:57:00,11
2024-04-04 07:27:00,6
2024-04-04 07:57:00,9
2024-04-04 08:27:00,10
2024-04-04 08:57:00,9
2024-04-04 09:27:00,6
2024-04-04 09:57:00,5
2024-04-04 10:27:00,13
2024-04-04 10:57:00,14
2024-04-04 11:27:00,12
2024-04-04 11:57:00,9
2024-04-04 12:27:00,20
2024-04-04 12:57:00,9
2024-04-04 13:27:00,5
2024-04-04 13:57:00,16
2024-04-04 14:27:00,20
2024-04-04 14:57:00,20
2024-04-04 15:27:00,18
2024-04-04 15:57:00,11
2024-04-04 16:27:00,16
2024-04-04 16:57:00,13
2024-04-04 17:27:00,21
2024-04-04 17:57:00,16
2024-04-04 18:27:00,25
2024-04-04 18:57:00,19
2024-04-04 19:27:00,8
2024-04-04 19:57:00,6
2024-04-04 20:27:00,4
2024-04-04 20:57:00,2
2024-04-04 21:27:00,2
2024-04-04 21:57:00,1
2024-04-04 22:57:00,1
2024-04-05 00:57:00,1
2024-04-05 01:57:00,1
2024-04-05 04:57:00,1
2024-04-05 05:27:00,1
2024-04-05 06:27:00,1
2024-04-05 06:57:00,17
2024-04-05 07:27:00,13
2024-04-05 07:57:00,10
2024-04-05 08:27:00,9
2024-04-05 08:57:00,8
2024-04-05 09:27:00,8
2024-04-05 09:57:00,12
2024-04-05 10:27:00,13
2024-04-05 10:57:00,10
2024-04-05 11:27:00,9
2024-04-05 11:57:00,15
2024-04-05 12:27:00,13
2024-04-05 12:57:00,11
2024-04-05 13:27:00,6
2024-04-05 13:57:00,15
2024-04-05 14:27:00,17
2024-04-05 14:57:00,12
2024-04-05 15:27:00,21
2024-04-05 15:57:00,13
2024-04-05 16:27:00,23
2024-04-05 16:57:00,17
2024-04-05 17:27:00,16
2024-04-05 17:57:00,26
2024-04-05 18:27:00,23
2024-04-05 18:57:00,22
2024-04-05 19:27:00,24
2024-04-05 19:57:00,11
2024-04-05 20:27:00,11
2024-04-05 20:57:00,3
2024-04-05 21:27:00,2
2024-04-05 21:57:00,5
2024-04-05 22:27:00,5
2024-04-05 22:57:00,7
2024-04-05 23:27:00,4
2024-04-05 23:57:00,1
2024-04-06 00:27:00,1
2024-04-06 00:57:00,2
2024-04-06 04:27:00,1
2024-04-06 05:27:00,2
2024-04-06 06:57:00,2
2024-04-06 07:27:00,2
